#disk write=0
0.05 -
0.1 -
0.15 -
0.2 -
0.25 -
0.3 -
0.35 -
0.4 -
0.45 -
0.5 -
0.55 -
0.6 -
0.65 -
0.7 -
0.75 -
0.8 -
0.85 -
0.9 -
0.95 -
1 -


#disk write=0
0.05 0.54
0.1 0.797
0.15 1.31
0.2 3.398
0.25 3.449
0.3 3.497
0.35 3.536
0.4 3.595
0.45 3.868
0.5 5.005
0.55 6.531
0.6 6.591
0.65 6.647
0.7 6.728
0.75 6.769
0.8 6.838
0.85 6.966
0.9 8.616
0.95 11.88
1 469.619


#disk write=0
0.05 0.003
0.1 0.003
0.15 0.004
0.2 0.004
0.25 0.005
0.3 0.005
0.35 0.006
0.4 0.006
0.45 0.011
0.5 0.426
0.55 0.625
0.6 0.772
0.65 0.856
0.7 1.178
0.75 3.453
0.8 3.567
0.85 4.104
0.9 6.757
0.95 6.941
1 78.314


#disk write=1
0.05 0.221
0.1 0.24
0.15 0.266
0.2 0.311
0.25 0.355
0.3 0.427
0.35 0.431
0.4 0.44
0.45 0.448
0.5 0.497
0.55 0.576
0.6 0.681
0.65 0.801
0.7 1.085
0.75 3.306
0.8 3.408
0.85 3.745
0.9 6.194
0.95 6.431
1 1410.25


#disk write=1
0.05 0.271
0.1 0.36
0.15 0.404
0.2 0.477
0.25 0.492
0.3 0.618
0.35 0.673
0.4 0.927
0.45 3.258
0.5 3.391
0.55 3.471
0.6 3.586
0.65 4.441
0.7 6.253
0.75 6.417
0.8 6.54
0.85 6.741
0.9 8.541
0.95 13.608
1 3351.77


#disk write=1
0.05 0.264
0.1 0.274
0.15 0.323
0.2 0.371
0.25 0.459
0.3 0.492
0.35 0.502
0.4 0.541
0.45 0.665
0.5 0.758
0.55 0.941
0.6 2.573
0.65 3.389
0.7 3.495
0.75 3.732
0.8 6.261
0.85 6.474
0.9 6.712
0.95 8.879
1 512.123


#flash write=0
0.05 -
0.1 -
0.15 -
0.2 -
0.25 -
0.3 -
0.35 -
0.4 -
0.45 -
0.5 -
0.55 -
0.6 -
0.65 -
0.7 -
0.75 -
0.8 -
0.85 -
0.9 -
0.95 -
1 -


#flash write=0
0.05 0.019
0.1 0.025
0.15 0.03
0.2 0.037
0.25 0.041
0.3 0.044
0.35 0.046
0.4 0.05
0.45 0.072
0.5 0.077
0.55 0.08
0.6 0.082
0.65 0.084
0.7 0.088
0.75 0.111
0.8 0.145
0.85 0.153
0.9 0.159
0.95 0.168
1 2.59


#flash write=0
0.05 0.007
0.1 0.011
0.15 0.013
0.2 0.014
0.25 0.022
0.3 0.024
0.35 0.026
0.4 0.034
0.45 0.044
0.5 0.048
0.55 0.064
0.6 0.082
0.65 0.108
0.7 0.139
0.75 0.168
0.8 0.225
0.85 0.298
0.9 0.466
0.95 0.77
1 10.329


#flash write=1
0.05 0.006
0.1 0.007
0.15 0.009
0.2 0.01
0.25 0.011
0.3 0.013
0.35 0.019
0.4 0.02
0.45 0.021
0.5 0.022
0.55 0.024
0.6 0.034
0.65 0.036
0.7 0.038
0.75 0.04
0.8 0.041
0.85 0.042
0.9 0.044
0.95 0.056
1 3.45


#flash write=1
0.05 0.012
0.1 0.016
0.15 0.018
0.2 0.021
0.25 0.024
0.3 0.028
0.35 0.031
0.4 0.035
0.45 0.044
0.5 0.047
0.55 0.051
0.6 0.06
0.65 0.069
0.7 0.081
0.75 0.087
0.8 0.092
0.85 0.099
0.9 0.124
0.95 0.229
1 3.858


#flash write=1
0.05 0.036
0.1 0.048
0.15 0.061
0.2 0.073
0.25 0.094
0.3 0.108
0.35 0.124
0.4 0.144
0.45 0.18
0.5 0.195
0.55 0.216
0.6 0.246
0.65 0.271
0.7 0.33
0.75 0.405
0.8 0.499
0.85 0.65
0.9 0.916
0.95 1.471
1 28.381


